Student_ID,Study_Hours,Attendance,Previous_Marks,Assignments,Internal_Marks,Socio_Economic_Status,Final_Percentage,Final_Result
S1000,2,92.0,25.0,30.0,30.0,3,30.0,Fail
S1001,2,94.7,25.0,24.3,25.0,1,30.0,Fail
S1002,2,86.7,35.0,40.7,40.0,1,50.0,Pass
S1003,3,97.3,75.0,80.1,70.0,3,75.0,Pass
S1004,2,94.7,30.0,38.8,50.0,3,50.0,Pass
S1005,2,86.7,75.0,73.8,75.0,3,75.0,Pass
S1006,2,100.0,60.0,67.9,60.0,2,55.0,Pass
S1007,2,92.0,30.0,31.3,25.0,3,30.0,Fail
S1008,2,100.0,80.0,82.7,90.0,2,95.0,Pass
S1009,2,100.0,70.0,75.2,75.0,3,75.0,Pass
S1010,2,100.0,50.0,42.7,40.0,3,45.0,Fail
S1011,3,94.7,50.0,52.7,60.0,1,60.0,Pass
S1012,1,97.3,70.0,71.2,70.0,3,70.0,Pass
S1013,2,97.3,50.0,40.4,50.0,3,55.0,Pass
S1014,3,100.0,70.0,66.4,80.0,2,80.0,Pass
S1015,1,94.7,70.0,67.2,70.0,3,70.0,Pass
S1016,3,92.0,65.0,62.4,70.0,3,70.0,Pass
S1017,2,94.7,40.0,46.6,50.0,3,50.0,Pass
S1018,1,78.7,30.0,23.0,25.0,2,25.0,Fail
S1019,1,94.7,40.0,37.9,50.0,3,50.0,Pass
S1020,2,100.0,65.0,74.8,70.0,3,75.0,Pass
S1021,1,100.0,60.0,66.4,75.0,3,75.0,Pass
S1022,2,97.3,75.0,75.3,75.0,3,80.0,Pass
S1023,2,100.0,65.0,57.9,65.0,2,60.0,Pass
S1024,3,97.3,50.0,44.8,45.0,3,40.0,Fail
S1025,1,81.3,30.0,38.1,45.0,2,40.0,Fail
S1026,1,97.3,60.0,54.2,60.0,2,55.0,Pass
S1027,1,94.7,75.0,79.4,80.0,3,75.0,Pass
S1028,2,94.7,55.0,52.0,55.0,3,55.0,Pass
S1029,2,78.7,50.0,53.5,60.0,3,55.0,Pass
S1030,2,100.0,45.0,47.0,55.0,3,60.0,Pass
S1031,2,100.0,85.0,91.8,80.0,3,85.0,Pass
S1032,2,100.0,85.0,82.4,80.0,3,80.0,Pass
S1033,2,100.0,40.0,39.7,50.0,3,60.0,Pass
S1034,1,100.0,60.0,69.1,70.0,2,75.0,Pass
S1035,1,100.0,40.0,31.4,35.0,2,30.0,Fail
S1036,3,97.3,75.0,78.5,80.0,3,90.0,Pass
S1037,3,90.7,75.0,67.7,80.0,3,75.0,Pass
S1038,3,97.3,60.0,53.4,60.0,3,55.0,Pass
S1039,1,89.3,70.0,68.5,65.0,2,65.0,Pass
S1040,2,66.7,35.0,46.2,50.0,2,55.0,Pass
S1041,1,89.3,60.0,60.9,60.0,3,60.0,Pass
S1042,2,97.3,95.0,91.9,90.0,3,90.0,Pass
S1043,1,100.0,40.0,38.5,40.0,2,55.0,Pass
S1044,2,81.3,50.0,42.6,50.0,2,45.0,Fail
S1045,2,89.3,40.0,36.4,40.0,3,30.0,Fail
S1046,2,84.0,55.0,55.2,60.0,3,55.0,Pass
S1047,4,94.7,95.0,100.0,95.0,3,100.0,Pass
S1048,2,97.3,75.0,76.7,75.0,3,70.0,Pass
S1049,2,97.3,35.0,26.2,35.0,3,35.0,Fail
S1050,2,97.3,60.0,64.1,65.0,2,65.0,Pass
S1051,2,97.3,55.0,58.1,65.0,3,65.0,Pass
S1052,1,92.0,55.0,51.6,55.0,3,50.0,Pass
S1053,1,100.0,40.0,48.1,50.0,3,55.0,Pass
S1054,1,92.0,50.0,62.7,65.0,3,65.0,Pass
S1055,2,89.3,40.0,47.2,45.0,1,50.0,Pass
S1056,2,100.0,70.0,68.3,75.0,3,75.0,Pass
S1057,2,94.7,70.0,71.0,75.0,3,75.0,Pass
